id,sequence,product_tmpl_id,code,type,company_id,bom_line_ids/id,bom_line_ids/product_qty,bom_line_ids/sequence,bom_line_ids/operation_id/id,bom_line_ids/product_id/id,operation_ids/id,operation_ids/name,operation_ids/sequence,operation_ids/search_mode,operation_ids/priority,operation_ids/workcenter_id,operation_ids/time_cycle_manual,subcontractor_ids/id,scrap_rate
mrp_bom.chair_leg,0,chair leg,,Manufacture this product,My Company (San Francisco),mrp_bom.line.chair_leg_wooden_beam,1,1,,product_product.wooden_beam,mrp_routing_workcenter_chair_leg_cut_wooden_beam,cut wooden beam,100,priority,1,saw,2,,0.1
mrp_bom.varnished_chair,0,varnished chair,,Manufacture this product,My Company (San Francisco),mrp_bom.line.varnished_chair_chair,1,1,,product_product.chair,mrp_routing_workcenter_varnished_chair_chair,varnishing chair,100,priority,1,painting workstation,15,,
,,,,,,mrp_bom.line.varnished_chair_varnish,1,1,,product_product.varnish,,,,,,,,,
,,,,,,,,,,,mrp_routing_workcenter_polishing_chair,polishing chair,101,priority,1,polishing workstation,10,,
mrp_bom.chair,0,chair,,Manufacture this product,My Company (San Francisco),mrp_bom.line.chair_chair_leg,4,1,,product_product.chair_leg,mrp_routing_workcenter_assemble_chair,assemble chair,100,priority,1,assembly line,15,,
,,,,,,mrp_bom.line.chair_screw,20,1,,mrp.product_product_computer_desk_screw,,,,,,,,,
,,,,,,mrp_bom.line.chair_cushion,1,1,,product_product.cushion,,,,,,,,,
mrp_bom.DIY_varnished_chair,0,DIY varnished chair,,Kit,My Company (San Francisco),mrp_bom.line.DIY_varnished_chair_chair,4,1,,product_product.chair,,,,,,,,,
,,,,,,mrp_bom.line.DIY_varnished_chair_varnish,1,1,,product_product.varnish,,,,,,,,,
mrp_bom.custom_chair,0,custom chair,,Manufacture this product,My Company (San Francisco),mrp_bom.line.custom_chair_chair,1,1,,product_product.chair,mrp_operation.assemble_custom_chair,assemble,100,priority,1,assembly line,20,,
,,,,,,mrp_bom.line.custom_chair_custom_chair_leg,4,1,,product_product.custom_chair_leg,,,,,,,,,
,,,,,,mrp_bom.line.custom_chair_custom_cushion,1,1,,product_product.custom_cushion,,,,,,,,,
mrp_bom.custom_chair_leg,0,custom chair leg,,Manufacture this product,My Company (San Francisco),mrp_bom.line.custom_chair_leg_wooden_beam,1,1,,product_product.wooden_beam,mrp_routing_workcenter_custom_chair_leg_cut_wooden_beam,cut wooden beam,100,priority,1,saw,2,,
mrp_bom.chair_subcontracting,0,chair,,subcontract,My Company (San Francisco),mrp_bom.line.chair_sub_chair_leg,4,1,,product_product.chair_leg,,,,,,,,res_partner_subcontractor_chair,
,,,,,,mrp_bom.line.chair_sub_screw,20,1,,mrp.product_product_computer_desk_screw,,,,,,,,,,,
,,,,,,mrp_bom.line.chair_sub_cushion,1,1,,product_product.cushion,,,,,,,,,,,
